i7-920,i7-930,i7-950,i7-960,i7-980X,i5-750,i5-760,i3-530,i3-540,i3-2100,i3-2120,i3-2100T,i5-2300,i5-2400,i5-2500K,i5-2550K,i7-2600,i7-2600K,i7-2700K,i3-3220,i3-3240T,i5-3470,i5-3570K,i5-3550,i7-3770,i7-3770K,i7-3820,i3-4130,i3-4330,i5-4440,i5-4690K,i7-4770,i7-4790K,i5-4590,i3-4360,i7-5775C,i5-5675C,i7-6700K,i7-6700,i5-6600K,i5-6600,i5-6500,i5-6400,i3-6100,i7-7700K,i7-7700,i5-7600K,i5-7600,i5-7500,i5-7400,i3-7350K,i3-7300,i3-7100,i7-7700T,i5-7600T,i5-7500T,i7-8700K,i7-8700,i7-8700T,i5-8600K,i5-8600,i5-8500,i5-8400,i5-8400T,i3-8350K,i3-8300,i3-8100
25.0,25.0,30.0,35.0,200.0,9.0,12.0,16.0,45.0,12.0,14.0,15.0,95.0,35.0,65.0,65.0,140.0,180.0,188.0,18.0,26.0,109.0,78.0,60.0,266.0,266.0,65.0,16.0,23.0,288.0,120.0,195.0,286.0,79.0,29.0,469.0,150.0,320.0,405.0,297.0,225.0,170.0,180.0,40.0,450.0,480.0,251.0,220.0,225.0,222.0,90.0,95.0,46.0,200.0,228.0,435.0,670.0,199.0,540.0,335.0,335.0,350.0,360.0,278.0,175.0,135.0,110.0
30.0,,76.0,38.0,105.0,8.0,10.0,10.0,43.0,12.0,18.0,20.0,80.0,35.0,60.0,70.0,150.0,160.0,249.0,20.0,23.0,69.0,70.0,100.0,239.0,239.0,150.0,15.0,23.0,130.0,125.0,205.0,279.0,129.0,30.0,370.0,225.0,365.0,375.0,311.0,205.0,185.0,20.0,40.0,480.0,380.0,,235.0,120.0,218.0,98.0,85.0,60.0,380.0,146.0,499.0,700.0,290.0,500.0,350.0,290.0,348.0,320.0,120.0,168.0,150.0,110.0
30.0,,89.0,99.0,230.0,39.0,13.0,30.0,23.0,13.0,,17.0,,44.0,55.0,60.0,145.0,180.0,250.0,22.0,30.0,85.0,70.0,75.0,180.0,230.0,143.0,14.0,23.0,110.0,135.0,205.0,300.0,107.0,29.0,410.0,277.0,370.0,370.0,190.0,185.0,200.0,38.0,42.0,488.0,450.0,235.0,200.0,140.0,260.0,98.0,119.0,56.0,430.0,238.0,520.0,666.0,305.0,680.0,345.0,360.0,380.0,350.0,199.0,166.0,145.0,108.0
23.0,25.0,30.0,35.0,188.0,,10.0,30.0,15.0,13.0,16.0,15.0,80.0,,64.0,99.0,180.0,157.0,120.0,20.0,24.0,72.0,95.0,77.0,198.0,258.0,100.0,15.0,19.0,288.0,128.0,220.0,260.0,78.0,99.0,666.0,230.0,393.0,365.0,225.0,190.0,175.0,175.0,45.0,300.0,430.0,,245.0,220.0,210.0,94.0,110.0,52.0,399.0,288.0,550.0,688.0,310.0,735.0,290.0,350.0,350.0,345.0,290.0,168.0,135.0,115.0
60.0,26.0,35.0,35.0,120.0,10.0,13.0,7.0,25.0,12.0,10.0,23.0,100.0,49.0,62.0,65.0,135.0,160.0,190.0,20.0,20.0,,99.0,76.0,230.0,280.0,185.0,16.0,28.0,145.0,129.0,266.0,270.0,75.0,29.0,430.0,226.0,400.0,320.0,205.0,185.0,190.0,128.0,45.0,510.0,415.0,275.0,240.0,220.0,203.0,99.0,99.0,50.0,258.0,,600.0,660.0,315.0,950.0,399.0,229.0,290.0,355.0,310.0,168.0,145.0,
60.0,,85.0,43.0,190.0,39.0,13.0,,60.0,12.0,,18.0,120.0,,75.0,60.0,160.0,,168.0,15.0,20.0,65.0,81.0,68.0,170.0,300.0,175.0,14.0,24.0,234.0,140.0,228.0,265.0,,35.0,500.0,220.0,389.0,380.0,210.0,215.0,,68.0,55.0,498.0,450.0,270.0,220.0,245.0,248.0,98.0,89.0,,262.0,239.0,499.0,620.0,330.0,715.0,349.0,700.0,315.0,350.0,305.0,165.0,,120.0
25.0,27.0,36.0,40.0,,66.0,13.0,,58.0,12.0,,15.0,149.0,40.0,65.0,99.0,118.0,248.0,175.0,20.0,30.0,65.0,80.0,72.0,170.0,240.0,173.0,18.0,25.0,160.0,118.0,210.0,293.0,95.0,36.0,469.0,199.0,,415.0,215.0,180.0,,183.0,42.0,500.0,416.0,238.0,265.0,,200.0,100.0,89.0,58.0,269.0,288.0,900.0,830.0,310.0,730.0,360.0,500.0,348.0,360.0,328.0,180.0,149.0,120.0
,,35.0,63.0,200.0,75.0,15.0,12.0,18.0,14.0,16.0,22.0,80.0,60.0,90.0,58.0,,180.0,175.0,,28.0,67.0,80.0,75.0,170.0,220.0,206.0,23.0,20.0,,112.0,210.0,288.0,120.0,35.0,435.0,269.0,305.0,,,210.0,190.0,185.0,48.0,488.0,488.0,256.0,251.0,,210.0,95.0,95.0,60.0,350.0,290.0,750.0,888.0,355.0,875.0,390.0,345.0,318.0,290.0,353.0,199.0,158.0,115.0
29.0,,37.0,109.0,100.0,55.0,35.0,10.0,58.0,15.0,17.0,13.0,85.0,48.0,49.0,70.0,,168.0,350.0,15.0,30.0,100.0,85.0,105.0,220.0,,72.0,14.0,23.0,210.0,128.0,245.0,,79.0,95.0,469.0,230.0,399.0,,224.0,175.0,159.0,170.0,44.0,280.0,490.0,240.0,230.0,240.0,215.0,100.0,220.0,62.0,315.0,238.0,1000.0,650.0,620.0,745.0,360.0,470.0,370.0,365.0,,200.0,150.0,
50.0,,35.0,34.0,120.0,60.0,39.0,20.0,27.0,10.0,,30.0,110.0,59.0,65.0,60.0,150.0,155.0,159.0,20.0,29.0,108.0,80.0,77.0,300.0,300.0,178.0,20.0,28.0,280.0,125.0,250.0,,220.0,90.0,429.0,245.0,380.0,260.0,234.0,200.0,200.0,190.0,44.0,450.0,425.0,254.0,254.0,170.0,219.0,105.0,158.0,60.0,435.0,,420.0,800.0,400.0,715.0,450.0,478.0,375.0,399.0,188.0,,140.0,118.0
