column,error,eps,noise_ratio,n_clusters,cleaned_mean,scaled_var
i7-920,,1.0252,0.037,1,34.9231,0.6871
i7-930,,0.7062,0.0833,2,24.2727,0.7501
i7-950,,0.7934,0.0357,1,57.963,0.6872
i7-960,,0.6999,0.0345,1,66.4643,0.7619
i7-980X,,0.6733,0.04,1,181.5,0.6888
i5-750,,0.4824,0.0,2,31.1034,1.0
i5-760,,1.2543,0.037,1,20.8077,0.6511
i3-530,,0.6134,0.0385,1,18.24,0.5772
i3-540,,0.63,0.069,1,33.9259,0.6822
i3-2100,,1.3522,0.0,1,16.5926,1.0
i3-2120,,1.1198,0.087,1,15.5714,0.4894
i3-2100T,,0.3441,0.0667,1,21.5,0.7665
i5-2300,,0.4507,0.0667,2,106.0357,0.5401
i5-2400,,0.9336,0.0741,1,49.24,0.6739
i5-2500K,,1.299,0.0,1,68.36,1.0
i5-2550K,,0.5836,0.0,1,96.0,1.0
i7-2600,,0.6717,0.0714,1,153.3462,0.5815
i7-2600K,,0.976,0.0357,1,175.0,0.7235
i7-2700K,,1.2197,0.0,1,201.1071,1.0
i3-3220,,0.3306,0.0,3,19.7391,1.0
i3-3240T,,0.8808,0.0,1,32.76,1.0
i5-3470,,0.7254,0.0345,1,87.0714,0.8038
i5-3570K,,0.8689,0.0,1,84.6,1.0
i5-3550,,0.9951,0.037,1,88.1923,0.6962
i7-3770,,0.6232,0.0,1,218.0,1.0
i7-3770K,,0.7936,0.04,1,260.25,0.7353
i7-3820,,0.6659,0.0333,1,133.1034,0.8647
i3-4130,,0.8162,0.0,1,16.1786,1.0
i3-4330,,1.1389,0.037,1,24.6538,0.7728
i5-4440,,0.6971,0.069,1,193.3704,0.5475
i5-4690K,,1.1618,0.0,1,157.0,1.0
i7-4770,,0.9568,0.0,1,218.9643,1.0
i7-4790K,,0.5787,0.08,1,285.913,0.5772
i5-4590,,1.0629,0.0,1,111.4815,1.0
i3-4360,,1.1305,0.0741,1,47.84,0.3357
i7-5775C,,1.1942,0.0,1,457.6538,1.0
i5-5675C,,1.1317,0.0,1,234.8214,1.0
i7-6700K,,0.8753,0.0,1,375.5357,1.0
i7-6700,,0.7668,0.04,1,354.9583,0.7999
i5-6600K,,0.5961,0.0,2,259.6071,1.0
i5-6600,,0.6059,0.0357,1,200.5556,0.8043
i5-6500,,0.9997,0.0435,1,185.6364,0.737
i5-6400,,0.6537,0.0,2,141.9,1.0
i3-6100,,0.7669,0.0333,1,47.069,0.8564
i7-7700K,,1.1713,0.0,1,412.25,1.0
i7-7700,,0.6279,0.0,2,439.4074,1.0
i5-7600K,,0.85,0.04,1,258.5833,0.764
i5-7600,,1.1602,0.0,1,243.1154,1.0
i5-7500,,0.6435,0.04,1,200.75,0.8033
i5-7400,,0.7353,0.0,1,220.8929,1.0
i3-7350K,,0.6993,0.0,1,103.0741,1.0
i3-7300,,0.9721,0.0,1,100.75,1.0
i3-7100,,0.7382,0.0,2,57.4815,1.0
i7-7700T,,0.6687,0.0357,1,360.3333,0.8705
i5-7600T,,0.5091,0.0435,1,219.0909,0.8589
i5-7500T,,0.4435,0.0345,2,667.75,0.6791
i7-8700K,,1.0229,0.0333,1,737.3448,0.8813
i7-8700,,0.4884,0.0,2,401.0667,1.0
i7-8700T,,0.9668,0.0,1,805.1071,1.0
i5-8600K,,0.7921,0.0357,1,394.8148,0.7628
i5-8600,,0.903,0.0,1,453.0714,1.0
i5-8500,,0.8081,0.0,1,345.1071,1.0
i5-8400,,1.4603,0.0,1,346.3077,1.0
i5-8400T,,0.7629,0.0,1,238.1786,1.0
i3-8350K,,1.2888,0.0,1,197.9615,1.0
i3-8300,,0.8525,0.04,1,153.8333,0.5867
i3-8100,,0.4626,0.0435,3,115.6818,0.8434
