Column,Lower_Bound,Upper_Bound,Mean_Cleaned,Noise_Count,Normality_Score
i7-920,-9.125,81.875,33.57142857142857,2,0.9642857142857143
i7-930,17.375,32.375,23.76923076923077,4,0.9615384615384616
i7-950,-26.125,136.875,57.266666666666666,0,0.9666666666666667
i7-960,-152.25,473.75,156.82142857142858,2,0.9285714285714286
i7-980X,-56.25,473.75,189.44,5,0.96
i5-750,-55.625,119.375,30.233333333333334,0,1.0
i5-760,-7.125,47.875,20.96551724137931,1,0.9655172413793104
i3-530,-12.5,55.5,22.142857142857142,2,0.9285714285714286
i3-540,-5.125,61.875,28.433333333333334,0,0.9333333333333333
i3-2100,3.75,25.75,12.826086956521738,7,0.9565217391304348
i3-2120,2.5,38.5,17.458333333333332,6,1.0
i3-2100T,-2.625,44.375,19.517241379310345,1,0.9655172413793104
i5-2300,10.625,113.625,60.833333333333336,0,0.9333333333333333
i5-2400,34.875,69.875,49.81481481481482,3,0.9259259259259259
i5-2500K,50.0,90.0,66.95652173913044,7,0.9565217391304348
i5-2550K,-48.125,250.875,96.66666666666667,0,0.9666666666666667
i7-2600,105.125,220.125,160.3448275862069,1,0.9310344827586207
i7-2600K,95.0,255.0,173.10714285714286,2,0.9642857142857143
i7-2700K,67.375,354.375,201.10714285714286,2,0.8928571428571429
i3-3220,-23.5,92.5,29.962962962962962,3,0.9629629629629629
i3-3240T,-10.625,92.375,33.583333333333336,6,0.9583333333333334
i5-3470,25.0,145.0,80.53571428571429,2,0.9285714285714286
i5-3570K,42.0,146.0,91.77777777777777,3,0.9259259259259259
i5-3550,-3.75,206.25,95.96296296296296,3,0.9259259259259259
i7-3770,98.75,320.75,206.51724137931035,1,0.9655172413793104
i7-3770K,193.125,358.125,267.8076923076923,4,0.9230769230769231
i7-3820,-28.0,288.0,127.86666666666666,0,1.0
i3-4130,9.375,24.375,16.296296296296298,3,0.9629629629629629
i3-4330,14.375,37.375,25.307692307692307,4,0.9615384615384616
i5-4440,-61.25,352.75,134.10714285714286,2,0.8928571428571429
i5-4690K,7.875,328.875,158.11111111111111,3,0.9259259259259259
i7-4770,170.0,250.0,209.52,5,0.92
i7-4790K,226.875,341.875,282.5357142857143,2,0.9285714285714286
i5-4590,24.125,213.125,111.11111111111111,3,0.8888888888888888
i3-4360,-22.875,132.125,48.11538461538461,4,0.8846153846153846
i7-5775C,48.625,985.625,457.2692307692308,4,0.9615384615384616
i5-5675C,92.875,389.875,238.7037037037037,3,0.9629629629629629
i7-6700K,300.0,460.0,379.48,5,0.88
i7-6700,91.375,582.375,354.5,4,0.9230769230769231
i5-6600K,-18.5,567.5,250.93333333333334,0,0.9666666666666667
i5-6600,126.125,283.125,199.57692307692307,4,0.9230769230769231
i5-6500,137.25,247.25,189.95652173913044,7,0.9565217391304348
i5-6400,-124.375,362.625,123.96666666666667,0,1.0
i3-6100,23.5,73.5,47.8,0,1.0
i7-7700K,-285.0,971.0,382.5,0,1.0
i7-7700,325.0,525.0,432.7037037037037,3,1.0
i5-7600K,192.5,344.5,260.0416666666667,6,0.9583333333333334
i5-7600,182.25,298.25,236.11111111111111,3,1.0
i5-7500,134.375,309.375,216.85714285714286,2,0.9285714285714286
i5-7400,187.5,247.5,218.58333333333334,6,0.9166666666666666
i3-7350K,75.5,135.5,103.48148148148148,3,1.0
i3-7300,-174.0,360.0,97.85714285714286,2,0.9642857142857143
i3-7100,50.0,66.0,58.4,5,0.96
i7-7700T,58.75,646.75,357.17241379310343,1,0.9655172413793104
i5-7600T,12.875,511.875,230.56521739130434,7,1.0
i5-7500T,-35.75,1404.25,655.1379310344828,1,1.0
i7-8700K,401.25,1099.25,752.1379310344828,1,0.896551724137931
i7-8700,-153.75,1056.25,437.06666666666666,0,0.9666666666666667
i7-8700T,303.25,1401.25,838.5714285714286,2,0.9642857142857143
i5-8600K,180.5,672.5,420.7037037037037,3,0.9629629629629629
i5-8600,63.75,833.75,452.13793103448273,1,0.9310344827586207
i5-8500,319.125,396.125,356.8695652173913,7,0.9130434782608695
i5-8400,296.75,394.75,348.96153846153845,4,0.9230769230769231
i5-8400T,9.75,511.75,232.1851851851852,3,0.9629629629629629
i3-8350K,101.75,299.75,194.69230769230768,4,0.9230769230769231
i3-8300,92.875,231.875,156.3846153846154,4,0.9615384615384616
i3-8100,107.5,127.5,117.85714285714286,9,0.9047619047619048
