i7-920,i7-930,i7-950,i7-960,i7-980X,i5-750,i5-760,i3-530,i3-540,i3-2100,i3-2120,i3-2100T,i5-2300,i5-2400,i5-2500K,i5-2550K,i7-2600,i7-2600K,i7-2700K,i3-3220,i3-3240T,i5-3470,i5-3570K,i5-3550,i7-3770,i7-3770K,i7-3820,i3-4130,i3-4330,i5-4440,i5-4690K,i7-4770,i7-4790K,i5-4590,i3-4360,i7-5775C,i5-5675C,i7-6700K,i7-6700,i5-6600K,i5-6600,i5-6500,i5-6400,i3-6100,i7-7700K,i7-7700,i5-7600K,i5-7600,i5-7500,i5-7400,i3-7350K,i3-7300,i3-7100,i7-7700T,i5-7600T,i5-7500T,i7-8700K,i7-8700,i7-8700T,i5-8600K,i5-8600,i5-8500,i5-8400,i5-8400T,i3-8350K,i3-8300,i3-8100
25.0,25,30,35,200,9,12,16,45,12,14,15,95,35,65,65,140,180,188,18,26,109,78,60,266,266,65,16,23,288,120,195,286,79,29,469,150,320,405,297,225,170,180,40,450,480,251,220,225,222,90,95,46,200,228,435,670,199,540,335,335,350,360,278,175,135,110
30.0,59,76,38,105,8,10,10,43,12,18,20,80,35,60,70,150,160,249,20,23,69,70,100,239,239,150,15,23,130,125,205,279,129,30,370,225,365,375,311,205,185,20,40,480,380,200,235,120,218,98,85,60,380,146,499,700,290,500,350,290,348,320,120,168,150,110
30.0,80,89,99,230,39,13,30,23,13,56,17,200,44,55,60,145,180,250,22,30,85,70,75,180,230,143,14,23,110,135,205,300,107,29,410,277,370,370,190,185,200,38,42,488,450,235,200,140,260,98,119,56,430,238,520,666,305,680,345,360,380,350,199,166,145,108
23.0,25,30,35,188,618,10,30,15,13,16,15,80,98,64,99,180,157,120,20,24,72,95,77,198,258,100,15,19,288,128,220,260,78,99,666,230,393,365,225,190,175,175,45,300,430,315,245,220,210,94,110,52,399,288,550,688,310,735,290,350,350,345,290,168,135,115
60.0,26,35,35,120,10,13,7,25,12,10,23,100,49,62,65,135,160,190,20,20,199,99,76,230,280,185,16,28,145,129,266,270,75,29,430,226,400,320,205,185,190,128,45,510,415,275,240,220,203,99,99,50,258,333,600,660,315,950,399,229,290,355,310,168,145,180
60.0,72,85,43,190,39,13,60,60,12,46,18,120,99,75,60,160,260,168,15,20,65,81,68,170,300,175,14,24,234,140,228,265,240,35,500,220,389,380,210,215,260,68,55,498,450,270,220,245,248,98,89,40,262,239,499,620,330,715,349,700,315,350,305,165,229,120
25.0,27,36,40,700,66,13,55,58,12,46,15,149,40,65,99,118,248,175,20,30,65,80,72,170,240,173,18,25,160,118,210,293,95,36,469,199,500,415,215,180,228,183,42,500,416,238,265,310,200,100,89,58,269,288,900,830,310,730,360,500,348,360,328,180,149,120
86.0,99,35,63,200,75,15,12,18,14,16,22,80,60,90,58,260,180,175,120,28,67,80,75,170,220,206,23,20,500,112,210,288,120,35,435,269,305,480,25,210,190,185,48,488,488,256,251,450,210,95,95,60,350,290,750,888,355,875,390,345,318,290,353,199,158,115
29.0,30,37,109,100,55,35,10,58,15,17,13,85,48,49,70,220,168,350,15,30,100,85,105,220,330,72,14,23,210,128,245,328,79,95,469,230,399,25,224,175,159,170,44,280,490,240,230,240,215,100,220,62,315,238,1000,650,620,745,360,470,370,365,730,200,150,125
50.0,30,35,34,120,60,39,20,27,10,46,30,110,59,65,60,150,155,159,20,29,108,80,77,300,300,178,20,28,280,125,250,229,220,90,429,245,380,260,234,200,200,190,44,450,425,254,254,170,219,105,158,60,435,650,420,800,400,715,450,478,375,399,188,380,140,118
48.0,23,88,128,500,64,20,13,25,35,15,26,80,52,100,158,180,200,185,22,30,74,81,75,156,280,178,17,28,290,160,268,366,189,39,1000,228,370,260,210,224,125,180,43,25,280,280,420,200,228,108,94,59,410,650,700,1000,450,688,568,349,245,329,265,195,180,105
25.0,25,35,55,260,50,870,30,27,11,25,20,150,56,65,58,120,160,150,20,32,120,65,100,245,260,161,76,24,368,388,218,289,98,79,400,220,360,298,220,200,190,175,52,495,408,249,315,199,180,120,70,56,265,680,583,800,430,785,360,365,368,365,220,179,165,109
28.0,28,38,55,100,9,15,25,20,15,18,34,135,35,70,65,157,155,250,23,28,100,88,68,190,466,99,15,23,216,238,205,290,79,45,480,180,365,400,220,150,211,192,60,455,430,460,235,480,220,98,95,60,259,285,900,500,500,735,500,395,348,245,198,185,140,110
23.0,25,75,40,200,10,30,25,20,12,16,18,108,40,65,60,180,208,185,23,30,58,99,75,190,250,90,13,22,139,130,203,290,100,34,539,199,350,130,150,222,240,170,60,488,405,275,238,160,225,99,160,48,400,649,450,800,340,715,400,380,385,358,198,190,180,115
50.0,20,35,80,190,60,20,13,17,15,14,30,109,56,65,60,150,200,175,15,28,55,85,150,280,280,150,21,26,120,155,210,270,90,42,1080,260,395,375,360,168,260,85,49,128,410,230,275,230,222,100,239,118,450,880,589,666,615,710,488,799,365,350,26,190,130,121
70.0,23,169,40,243,9,20,15,39,11,25,24,108,60,65,68,145,150,189,66,49,70,75,178,225,225,110,14,35,260,300,200,290,180,40,1250,300,333,350,360,234,183,25,46,500,510,248,256,239,225,99,16,50,435,650,869,649,268,630,360,350,280,240,700,190,150,118
26.0,23,121,117,999,10,16,35,29,12,16,28,150,72,135,123,148,165,185,19,25,95,81,78,180,258,249,19,30,168,140,200,300,110,40,340,260,389,415,222,180,277,180,45,430,430,589,240,130,215,114,65,45,260,153,999,680,310,958,470,799,350,380,360,1149,155,130
38.0,29,39,40,249,60,15,28,60,18,42,25,80,49,60,180,170,300,240,24,65,103,95,130,188,350,138,16,25,180,135,218,490,100,55,666,220,335,350,405,185,182,180,55,500,420,256,228,230,246,105,205,60,388,189,6200,670,260,1180,700,385,360,350,300,196,158,118
30.0,27,45,41,380,10,20,25,58,29,45,20,80,50,135,150,180,190,175,50,55,76,220,120,210,260,159,15,24,120,90,240,331,102,160,700,369,450,408,262,220,199,19,45,210,258,270,589,225,243,100,874,65,240,150,880,1000,345,1199,478,960,378,310,280,240,120,120
20.0,20,39,130,280,14,23,9,60,13,15,30,108,50,75,198,186,155,160,108,45,109,135,80,190,388,170,17,25,150,180,206,306,79,199,5550,600,370,120,399,210,180,180,40,430,300,275,230,253,205,110,20,65,850,700,580,788,649,1200,365,920,260,360,298,199,158,120
25.0,23,110,71,171,18,25,21,75,52,13,28,200,48,64,75,140,155,180,19,27,123,81,68,220,280,159,18,28,280,430,200,240,110,50,469,196,350,315,265,297,188,180,45,479,455,360,249,420,300,240,5,59,380,150,700,950,498,800,355,480,347,336,108,200,175,260
25.0,49,110,35,140,13,13,68,35,14,11,21,100,130,68,58,155,155,185,22,35,104,89,80,215,255,139,15,28,242,139,265,260,155,59,418,329,388,118,188,188,190,150,47,459,500,290,279,199,230,118,8,62,440,180,437,460,283,930,430,700,395,358,400,234,149,115
30.0,26,72,385,150,9,15,15,15,32,16,20,150,50,98,180,168,168,350,25,112,129,104,188,219,230,168,20,25,115,243,209,288,100,199,400,168,399,299,360,300,199,185,45,335,400,255,250,220,190,110,16,40,418,250,450,650,685,850,359,530,335,345,205,480,190,115
120.0,23,35,43,290,22,33,8,9,13,15,27,108,50,150,144,165,150,180,88,120,150,150,330,205,265,55,16,20,158,599,210,279,100,46,350,260,400,299,190,200,190,199,32,488,440,280,255,249,240,118,160,57,356,200,700,663,666,1080,350,325,380,265,330,170,480,135
120.0,20,50,40,150,55,60,100,90,40,13,15,85,47,70,70,155,400,170,23,200,72,81,40,225,255,189,14,49,160,130,200,280,300,40,666,188,450,360,20,222,230,180,40,178,410,275,275,350,239,98,45,59,450,200,599,660,320,675,488,399,350,349,345,198,156,115
22.0,64,110,99,200,13,25,9,40,14,20,25,108,49,64,160,220,198,320,55,50,60,85,99,280,420,36,15,30,480,260,220,298,259,50,328,199,350,370,220,176,198,22,59,100,450,219,460,149,220,99,288,65,1200,260,688,909,320,1310,450,369,470,278,15,275,785,118
88.0,22,35,150,699,42,50,15,23,50,20,15,88,57,65,64,120,165,200,19,199,120,128,280,260,285,40,14,30,112,128,289,301,88,40,329,120,420,68,188,199,185,175,50,475,495,280,256,350,233,120,530,58,410,250,990,630,650,850,380,360,300,345,80,287,320,115
41.0,25,40,108,700,10,66,58,56,14,18,20,148,55,256,80,128,160,360,15,40,75,80,130,300,198,100,14,45,150,160,195,350,179,358,350,458,498,400,240,199,130,188,54,490,418,235,199,150,201,157,159,60,410,280,1390,850,249,493,400,550,370,369,280,300,499,260
25.0,23,186,58,140,13,100,15,510,55,55,10,95,57,65,98,260,228,128,15,20,75,108,100,200,270,180,15,17,228,240,288,295,89,160,418,329,390,350,399,220,160,25,45,25,409,270,250,230,218,90,14,60,460,168,850,680,460,880,960,568,360,220,25,450,179,120
