name,2025-05-06
i7-920,25
i7-930,23
i7-950,35
i7-960,40
i7-980X,182
i5-750,10
i5-760,13
i3-530,18
i3-540,34
i3-2100,12
i3-2120,16
i3-2100T,15
i5-2300,80
i5-2400,49
i5-2500K,65
i5-2550K,60
i7-2600,153
i7-2600K,155
i7-2700K,120
i3-3220,20
i3-3240T,30
i5-3470,55
i5-3570K,81
i5-3550,88
i7-3770,156
i7-3770K,260
i7-3820,36
i3-4130,14
i3-4330,23
i5-4440,193
i5-4690K,90
i7-4770,195
i7-4790K,286
i5-4590,75
i3-4360,48
i7-5775C,328
i5-5675C,120
i7-6700K,305
i7-6700,355
i5-6600K,150
i5-6600,168
i5-6500,190
i5-6400,180
i3-6100,45
i7-7700K,100
i7-7700,380
i5-7600K,259
i5-7600,199
i5-7500,120
i5-7400,180
i3-7350K,98
i3-7300,3
i3-7100,60
i7-7700T,200
i5-7600T,146
i5-7500T,668
i7-8700K,500
i7-8700,199
i7-8700T,493
i5-8600K,395
i5-8600,229
i5-8500,260
i5-8400,278
i5-8400T,15
i3-8350K,130
i3-8300,154
i3-8100,115
